poiID,poiName,poiTheme,poiLat,poiLon,poiURL,suburb
0,Arts Precinct,City precincts,-37.821670000000005,144.96778,https://en.wikipedia.org/wiki/Melbourne_Arts_Precinct,Southbank
1,Docklands,City precincts,-37.817,144.946,"https://en.wikipedia.org/wiki/Docklands,_Victoria",Docklands
2,Government Precinct,City precincts,-37.8119,144.97299999999998,"https://en.wikipedia.org/wiki/Spring_Street,_Melbourne",Melbourne
3,Little Italy,City precincts,-37.79972,144.96694,"https://en.wikipedia.org/wiki/Little_Italy,_Melbourne",Carlton
4,RMIT City,City precincts,-37.80778,144.96333,https://en.wikipedia.org/wiki/City_campus_of_the_Royal_Melbourne_Institute_of_Technology,Melbourne
5,Southbank,City precincts,-37.829,144.957,"https://en.wikipedia.org/wiki/Southbank,_Victoria",South Melbourne
6,Sports and Entertainment Precinct,City precincts,-37.81667,144.98333,https://en.wikipedia.org/wiki/Melbourne_Sports_and_Entertainment_Precinct,East Melbourne
7,University of Melbourne,City precincts,-37.7963,144.9614,https://en.wikipedia.org/wiki/University_of_Melbourne,Parkville
8,Block Arcade,Shopping,-37.81583,144.96444,"https://en.wikipedia.org/wiki/Block_Arcade,_Melbourne",Melbourne
9,Bourke Street,Shopping,-37.8139,144.96452,"https://en.wikipedia.org/wiki/Bourke_Street,_Melbourne",Melbourne
10,Bridge Road,Shopping,-37.817563899999996,144.99032780000002,"https://en.wikipedia.org/wiki/Bridge_Road,_Melbourne",Richmond (Vic.)
11,Brunswick Street,Shopping,-37.79833,144.978472,"https://en.wikipedia.org/wiki/Brunswick_Street,_Melbourne",Fitzroy
12,Chapel Street,Shopping,-37.84083,144.99528,"https://en.wikipedia.org/wiki/Chapel_Street,_Melbourne",South Yarra - East
13,Centre Place,Shopping,-37.816583,144.9655,"https://en.wikipedia.org/wiki/Centre_Place,_Melbourne",Melbourne
14,Collins Street,Shopping,-37.8168,144.9622,"https://en.wikipedia.org/wiki/Collins_Street,_Melbourne",Melbourne
