poiID,poiName,poiTheme,poiLat,poiLon,poiURL,poiPopularity
0,Arts Precinct,City precincts,-37.821670000000005,144.96778,https://en.wikipedia.org/wiki/Melbourne_Arts_Precinct,64
1,Docklands,City precincts,-37.817,144.946,"https://en.wikipedia.org/wiki/Docklands,_Victoria",39
2,Government Precinct,City precincts,-37.8119,144.97299999999998,"https://en.wikipedia.org/wiki/Spring_Street,_Melbourne",83
3,Little Italy,City precincts,-37.79972,144.96694,"https://en.wikipedia.org/wiki/Little_Italy,_Melbourne",44
4,RMIT City,City precincts,-37.80778,144.96333,https://en.wikipedia.org/wiki/City_campus_of_the_Royal_Melbourne_Institute_of_Technology,50
5,Southbank,City precincts,-37.829,144.957,"https://en.wikipedia.org/wiki/Southbank,_Victoria",14
6,Sports and Entertainment Precinct,City precincts,-37.81667,144.98333,https://en.wikipedia.org/wiki/Melbourne_Sports_and_Entertainment_Precinct,12
7,University of Melbourne,City precincts,-37.7963,144.9614,https://en.wikipedia.org/wiki/University_of_Melbourne,30
8,Block Arcade,Shopping,-37.81583,144.96444,"https://en.wikipedia.org/wiki/Block_Arcade,_Melbourne",73
9,Bourke Street,Shopping,-37.8139,144.96452,"https://en.wikipedia.org/wiki/Bourke_Street,_Melbourne",137
10,Bridge Road,Shopping,-37.817563899999996,144.99032780000002,"https://en.wikipedia.org/wiki/Bridge_Road,_Melbourne",12
11,Brunswick Street,Shopping,-37.79833,144.978472,"https://en.wikipedia.org/wiki/Brunswick_Street,_Melbourne",73
12,Chapel Street,Shopping,-37.84083,144.99528,"https://en.wikipedia.org/wiki/Chapel_Street,_Melbourne",20
13,Centre Place,Shopping,-37.816583,144.9655,"https://en.wikipedia.org/wiki/Centre_Place,_Melbourne",67
14,Collins Street,Shopping,-37.8168,144.9622,"https://en.wikipedia.org/wiki/Collins_Street,_Melbourne",82
15,Degraves Street,Shopping,-37.8175,144.96583,"https://en.wikipedia.org/wiki/Degraves_Street,_Melbourne",103
16,Elizabeth Street,Shopping,-37.8096,144.961,"https://en.wikipedia.org/wiki/Elizabeth_Street,_Melbourne",40
17,Flinders Lane,Shopping,-37.81694,144.96556,"https://en.wikipedia.org/wiki/Flinders_Lane,_Melbourne",68
18,Little Collins Street,Shopping,-37.8151,144.9641,"https://en.wikipedia.org/wiki/Little_Collins_Street,_Melbourne",61
19,Melbourne Central Shopping Centre,Shopping,-37.810559999999995,144.96,https://en.wikipedia.org/wiki/Melbourne_Central_Shopping_Centre,50
20,Pran Central,Shopping,-37.847414,144.993503,https://en.wikipedia.org/wiki/Pran_Central,30
21,Queen Victoria Market,Shopping,-37.806965999999996,144.956693,https://en.wikipedia.org/wiki/Queen_Victoria_Market,65
22,Queen Victoria Village,Shopping,-37.81,144.9652,https://en.wikipedia.org/wiki/Queen_Victoria_Village,109
23,Royal Arcade,Shopping,-37.8145,144.9641,"https://en.wikipedia.org/wiki/Royal_Arcade,_Melbourne",61
24,Swanston Street,Shopping,-37.8064,144.963,"https://en.wikipedia.org/wiki/Swanston_Street,_Melbourne",36
25,Crown Casino and Entertainment Complex,Entertainment,-37.822324,144.96009899999999,https://en.wikipedia.org/wiki/Crown_Casino_and_Entertainment_Complex,93
26,Luna Park,Entertainment,-37.868036,144.976369,"https://en.wikipedia.org/wiki/Luna_Park,_Melbourne",113
27,Melbourne Aquarium,Entertainment,-37.821044,144.95801699999998,https://en.wikipedia.org/wiki/Sea_Life_Melbourne_Aquarium,81
28,Melbourne Zoo,Entertainment,-37.784762,144.95209499999999,https://en.wikipedia.org/wiki/Melbourne_Zoo,44
29,Australian Centre for Contemporary Art,Public galleries,-37.826496999999996,144.96701399999998,https://en.wikipedia.org/wiki/Australian_Centre_for_Contemporary_Art,19
30,Ian Potter Museum of Art,Public galleries,-37.7975,144.964111,https://en.wikipedia.org/wiki/Ian_Potter_Museum_of_Art,16
31,NGV International,Public galleries,-37.822595,144.968634,https://en.wikipedia.org/wiki/National_Gallery_of_Victoria,103
32,General Post Office,Institutions,-37.81384,144.963028,https://en.wikipedia.org/wiki/Melbourne_General_Post_Office,166
33,Government House,Institutions,-37.827939,144.976939,"https://en.wikipedia.org/wiki/Government_House,_Melbourne",7
34,Melbourne Observatory,Institutions,-37.8297,144.9755,https://en.wikipedia.org/wiki/Melbourne_Observatory,19
35,Melbourne Town Hall,Institutions,-37.815145,144.966777,https://en.wikipedia.org/wiki/Melbourne_Town_Hall,154
36,Old Melbourne Gaol,Institutions,-37.80806,144.96528,https://en.wikipedia.org/wiki/Old_Melbourne_Gaol,44
37,Old Melbourne Magistrates' Court,Institutions,-37.8087,144.966,https://en.wikipedia.org/wiki/Former_Melbourne_Magistrates%27_Court,31
38,Old Melbourne Mint,Institutions,-37.812153,144.956794,https://en.wikipedia.org/wiki/Melbourne_Mint,25
39,Old Treasury Building,Institutions,-37.813153,144.974121,"https://en.wikipedia.org/wiki/Old_Treasury_Building,_Melbourne",56
40,Parliament House,Institutions,-37.811054999999996,144.97329,"https://en.wikipedia.org/wiki/Parliament_House,_Melbourne",86
41,State Library of Victoria,Institutions,-37.809801,144.964787,https://en.wikipedia.org/wiki/State_Library_of_Victoria,114
42,Supreme Court of Victoria,Institutions,-37.814132,144.957932,https://en.wikipedia.org/wiki/Supreme_Court_of_Victoria,34
43,Victoria Barracks,Institutions,-37.827391,144.970447,"https://en.wikipedia.org/wiki/Victoria_Barracks,_Melbourne",12
44,Arts Centre,Structures,-37.82028,144.96833,https://en.wikipedia.org/wiki/Arts_Centre_Melbourne,88
45,Eureka Tower,Structures,-37.821670000000005,144.96444,https://en.wikipedia.org/wiki/Eureka_Tower,124
46,Melbourne Convention and Exhibition Centre,Structures,-37.8256,144.9541,https://en.wikipedia.org/wiki/Melbourne_Convention_and_Exhibition_Centre,55
47,Melbourne Star,Structures,-37.8110723,144.9368763,https://en.wikipedia.org/wiki/Melbourne_Star,20
48,Royal Exhibition Building,Structures,-37.804728000000004,144.971225,https://en.wikipedia.org/wiki/Royal_Exhibition_Building,96
49,Shrine of Remembrance,Structures,-37.830434000000004,144.97325800000002,https://en.wikipedia.org/wiki/Shrine_of_Remembrance,75
50,St Paul's Cathedral,Structures,-37.816853,144.967384,"https://en.wikipedia.org/wiki/St_Paul%27s_Cathedral,_Melbourne",164
51,St Patrick's Cathedral,Structures,-37.81,144.97611,"https://en.wikipedia.org/wiki/St_Patrick%27s_Cathedral,_Melbourne",40
52,Melbourne Rectangular Stadium (AAMI Park),Sports stadiums,-37.82528,144.98389,https://en.wikipedia.org/wiki/Melbourne_Rectangular_Stadium,10
