"photoID";"userID";"dateTaken";"poiID";"poiTheme";"poiFreq";"seqID"
3233170275;"34823318@N06";949323600;30;"Public galleries";47;1370
2104214833;"49503207397@N01";1006801914;40;"Institutions";400;2340
2104993710;"49503207397@N01";1006803152;71;"Parks and spaces";1693;2340
2104215119;"49503207397@N01";1006803177;71;"Parks and spaces";1693;2340
2104994064;"49503207397@N01";1006803611;71;"Parks and spaces";1693;2340
2104215635;"49503207397@N01";1006805129;35;"Institutions";574;2340
2104994566;"49503207397@N01";1006805151;35;"Institutions";574;2340
2104215953;"49503207397@N01";1006820435;9;"Shopping";1169;2340
3098790205;"68151423@N00";1016181157;28;"Entertainment";658;3351
3098790261;"68151423@N00";1016181159;28;"Entertainment";658;3351
3098790327;"68151423@N00";1016181160;28;"Entertainment";658;3351
3099673088;"68151423@N00";1016182754;28;"Entertainment";658;3351
3098840183;"68151423@N00";1016182781;28;"Entertainment";658;3351
3098841465;"68151423@N00";1016182823;28;"Entertainment";658;3351
3098869035;"68151423@N00";1016194486;28;"Entertainment";658;3351
5026068297;"66847065@N00";1023627129;57;"Sports stadiums";520;3272
5026089263;"66847065@N00";1023631981;57;"Sports stadiums";520;3272
6590335;"41894175689@N01";1026520782;35;"Institutions";574;1921
6590337;"41894175689@N01";1026520879;41;"Institutions";740;1921
6590339;"41894175689@N01";1026522720;35;"Institutions";574;1921
6590341;"41894175689@N01";1026526298;32;"Institutions";699;1921
6590343;"41894175689@N01";1026526338;32;"Institutions";699;1921
6590344;"41894175689@N01";1026530548;50;"Structures";574;1921
6590530;"41894175689@N01";1026538792;32;"Institutions";699;1921
5005045156;"54329815@N00";1030047615;52;"Sports stadiums";81;2581
17360487;"37912374670@N01";1034680650;71;"Parks and spaces";1693;1694
17360503;"37912374670@N01";1034680669;71;"Parks and spaces";1693;1694
17360508;"37912374670@N01";1034680915;71;"Parks and spaces";1693;1694
17360512;"37912374670@N01";1034681334;71;"Parks and spaces";1693;1694
17360519;"37912374670@N01";1034681343;71;"Parks and spaces";1693;1694
17360525;"37912374670@N01";1034681388;71;"Parks and spaces";1693;1694
17360534;"37912374670@N01";1034681389;71;"Parks and spaces";1693;1694
17360541;"37912374670@N01";1034681407;71;"Parks and spaces";1693;1694
17360554;"37912374670@N01";1034681412;71;"Parks and spaces";1693;1694
17360558;"37912374670@N01";1034681421;71;"Parks and spaces";1693;1694
17360564;"37912374670@N01";1034681422;71;"Parks and spaces";1693;1694
17360576;"37912374670@N01";1034681474;71;"Parks and spaces";1693;1694
17360592;"37912374670@N01";1034681741;71;"Parks and spaces";1693;1694
17360608;"37912374670@N01";1034681744;71;"Parks and spaces";1693;1694
17360616;"37912374670@N01";1034681746;71;"Parks and spaces";1693;1694
17360630;"37912374670@N01";1034682196;71;"Parks and spaces";1693;1694
17360636;"37912374670@N01";1034682226;71;"Parks and spaces";1693;1694
17360639;"37912374670@N01";1034682250;71;"Parks and spaces";1693;1694
17360655;"37912374670@N01";1034682368;71;"Parks and spaces";1693;1694
17360661;"37912374670@N01";1034682421;71;"Parks and spaces";1693;1694
17360663;"37912374670@N01";1034682466;71;"Parks and spaces";1693;1694
2117917357;"21442750@N07";1044018000;50;"Structures";574;566
243097522;"78211664@N00";1045438152;32;"Institutions";699;3825
17131693;"91821745@N00";1048647082;26;"Entertainment";704;4674
